departamento,provincia,distrito,C_CODI_AGRUPOL,AGRUPACION,TOTAL_VOTOS,POR_VALIDOS,POR_EMITIDOS,NOMBREe_CANDIDATO,updated,avance
AMAZONAS,LUYA,LUYA,00000007,FUERZA POPULAR,857,42.616,39.786,KEIKO SOFIA FUJIMORI HIGUCHI,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,LUYA,LUYA VIEJO,00000014,PARTIDO POLITICO NACIONAL PERU LIBRE,143,61.373,56.972,JOSE PEDRO CASTILLO TERRONES,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,LUYA,LUYA VIEJO,00000007,FUERZA POPULAR,90,38.627,35.85699999999999,KEIKO SOFIA FUJIMORI HIGUCHI,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,LUYA,MARIA,00000014,PARTIDO POLITICO NACIONAL PERU LIBRE,296,64.912,60.905,JOSE PEDRO CASTILLO TERRONES,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,LUYA,MARIA,00000007,FUERZA POPULAR,160,35.088,32.922000000000004,KEIKO SOFIA FUJIMORI HIGUCHI,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,LUYA,OCALLI,00000014,PARTIDO POLITICO NACIONAL PERU LIBRE,990,67.90100000000001,63.666000000000004,JOSE PEDRO CASTILLO TERRONES,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,LUYA,OCALLI,00000007,FUERZA POPULAR,468,32.099000000000004,30.096,KEIKO SOFIA FUJIMORI HIGUCHI,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,LUYA,OCUMAL,00000014,PARTIDO POLITICO NACIONAL PERU LIBRE,739,54.499,50.93,JOSE PEDRO CASTILLO TERRONES,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,LUYA,OCUMAL,00000007,FUERZA POPULAR,617,45.501,42.522000000000006,KEIKO SOFIA FUJIMORI HIGUCHI,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,LUYA,PISUQUIA,00000014,PARTIDO POLITICO NACIONAL PERU LIBRE,973,63.47,59.839999999999996,JOSE PEDRO CASTILLO TERRONES,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,LUYA,PISUQUIA,00000007,FUERZA POPULAR,560,36.53,34.44,KEIKO SOFIA FUJIMORI HIGUCHI,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,LUYA,SAN CRISTOBAL,00000014,PARTIDO POLITICO NACIONAL PERU LIBRE,196,57.309999999999995,53.699000000000005,JOSE PEDRO CASTILLO TERRONES,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,LUYA,SAN CRISTOBAL,00000007,FUERZA POPULAR,146,42.690000000000005,40,KEIKO SOFIA FUJIMORI HIGUCHI,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,LUYA,SAN FRANCISCO DEL YESO,00000014,PARTIDO POLITICO NACIONAL PERU LIBRE,236,62.933,60.825,JOSE PEDRO CASTILLO TERRONES,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,LUYA,SAN FRANCISCO DEL YESO,00000007,FUERZA POPULAR,139,37.067,35.825,KEIKO SOFIA FUJIMORI HIGUCHI,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,LUYA,SAN JERONIMO,00000014,PARTIDO POLITICO NACIONAL PERU LIBRE,196,51.579,49.37,JOSE PEDRO CASTILLO TERRONES,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,LUYA,SAN JERONIMO,00000007,FUERZA POPULAR,184,48.421,46.348,KEIKO SOFIA FUJIMORI HIGUCHI,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,LUYA,SAN JUAN DE LOPECANCHA,00000014,PARTIDO POLITICO NACIONAL PERU LIBRE,135,50.752,46.233000000000004,JOSE PEDRO CASTILLO TERRONES,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,LUYA,SAN JUAN DE LOPECANCHA,00000007,FUERZA POPULAR,131,49.248000000000005,44.863,KEIKO SOFIA FUJIMORI HIGUCHI,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,LUYA,SANTA CATALINA,00000014,PARTIDO POLITICO NACIONAL PERU LIBRE,376,56.455999999999996,54.572,JOSE PEDRO CASTILLO TERRONES,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,LUYA,SANTA CATALINA,00000007,FUERZA POPULAR,290,43.544,42.09,KEIKO SOFIA FUJIMORI HIGUCHI,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,LUYA,SANTO TOMAS,00000014,PARTIDO POLITICO NACIONAL PERU LIBRE,795,57.483999999999995,53.355999999999995,JOSE PEDRO CASTILLO TERRONES,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,LUYA,SANTO TOMAS,00000007,FUERZA POPULAR,588,42.516,39.463,KEIKO SOFIA FUJIMORI HIGUCHI,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,LUYA,TINGO,00000014,PARTIDO POLITICO NACIONAL PERU LIBRE,361,48.133,45.012,JOSE PEDRO CASTILLO TERRONES,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,LUYA,TINGO,00000007,FUERZA POPULAR,389,51.867,48.504,KEIKO SOFIA FUJIMORI HIGUCHI,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,LUYA,TRITA,00000014,PARTIDO POLITICO NACIONAL PERU LIBRE,526,77.12599999999999,73.98,JOSE PEDRO CASTILLO TERRONES,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,LUYA,TRITA,00000007,FUERZA POPULAR,156,22.874000000000002,21.941,KEIKO SOFIA FUJIMORI HIGUCHI,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,LUYA,PROVIDENCIA,00000014,PARTIDO POLITICO NACIONAL PERU LIBRE,481,83.798,80.705,JOSE PEDRO CASTILLO TERRONES,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,LUYA,PROVIDENCIA,00000007,FUERZA POPULAR,93,16.201999999999998,15.604,KEIKO SOFIA FUJIMORI HIGUCHI,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,RODRIGUEZ DE MENDOZA,SAN NICOLAS,00000014,PARTIDO POLITICO NACIONAL PERU LIBRE,1098,50.903999999999996,46.173,JOSE PEDRO CASTILLO TERRONES,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,RODRIGUEZ DE MENDOZA,SAN NICOLAS,00000007,FUERZA POPULAR,1059,49.096000000000004,44.533,KEIKO SOFIA FUJIMORI HIGUCHI,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,RODRIGUEZ DE MENDOZA,COCHAMAL,00000014,PARTIDO POLITICO NACIONAL PERU LIBRE,268,62.471,57.759,JOSE PEDRO CASTILLO TERRONES,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,RODRIGUEZ DE MENDOZA,COCHAMAL,00000007,FUERZA POPULAR,161,37.529,34.69800000000001,KEIKO SOFIA FUJIMORI HIGUCHI,2021-06-08T00:54:00Z,94.10199999999999
